kernel,version,taille,jeu_donnees,tile,threads,schedule,iterations,temps_ms
life, seq,1024,random,32,1,static,6400,55288.335
life, omp,1024,random,32,1,static,6400,58520.079
life, omp_lazy,1024,random,32,1,static,6400,58443.811
life_char, seq,1024,random,32,1,static,6400,38576.624
life_char, omp,1024,random,32,1,static,6400,39961.763
life_char, omp_lazy,1024,random,32,1,static,6400,40805.996
life_ft, seq,1024,random,32,1,static,6400,55604.363
life_ft, omp,1024,random,32,1,static,6400,58388.990
life_ft, omp_lazy,1024,random,32,1,static,6400,58610.882
life, seq,1024,random,32,2,static,6400,55332.139
life, omp,1024,random,32,2,static,6400,29273.630
life, omp_lazy,1024,random,32,2,static,6400,29424.838
life_char, seq,1024,random,32,2,static,6400,38540.614
life_char, omp,1024,random,32,2,static,6400,20047.602
life_char, omp_lazy,1024,random,32,2,static,6400,20165.386
life_ft, seq,1024,random,32,2,static,6400,55535.337
life_ft, omp,1024,random,32,2,static,6400,29305.998
life_ft, omp_lazy,1024,random,32,2,static,6400,29306.375
life, seq,1024,random,32,4,static,6400,55277.525
life, omp,1024,random,32,4,static,6400,14683.212
life, omp_lazy,1024,random,32,4,static,6400,14698.885
life_char, seq,1024,random,32,4,static,6400,38382.589
life_char, omp,1024,random,32,4,static,6400,10093.571
life_char, omp_lazy,1024,random,32,4,static,6400,10145.401
life_ft, seq,1024,random,32,4,static,6400,55482.145
life_ft, omp,1024,random,32,4,static,6400,14757.229
life_ft, omp_lazy,1024,random,32,4,static,6400,14756.318
life, seq,1024,random,32,8,static,6400,55278.631
life, omp,1024,random,32,8,static,6400,7023.818
life, omp_lazy,1024,random,32,8,static,6400,7083.949
life_char, seq,1024,random,32,8,static,6400,38394.670
life_char, omp,1024,random,32,8,static,6400,5403.901
life_char, omp_lazy,1024,random,32,8,static,6400,5292.379
life_ft, seq,1024,random,32,8,static,6400,55577.026
life_ft, omp,1024,random,32,8,static,6400,7707.008
life_ft, omp_lazy,1024,random,32,8,static,6400,7202.823
life, seq,1024,random,32,12,static,6400,55537.930
life, omp,1024,random,32,12,static,6400,6679.720
life, omp_lazy,1024,random,32,12,static,6400,7142.582
life_char, seq,1024,random,32,12,static,6400,38544.507
life_char, omp,1024,random,32,12,static,6400,5841.333
life_char, omp_lazy,1024,random,32,12,static,6400,5956.423
life_ft, seq,1024,random,32,12,static,6400,55619.084
life_ft, omp,1024,random,32,12,static,6400,7039.346
life_ft, omp_lazy,1024,random,32,12,static,6400,7013.684
life, seq,1024,random,32,24,static,6400,55487.978
life, omp,1024,random,32,24,static,6400,6637.674
life, omp_lazy,1024,random,32,24,static,6400,5213.108
life_char, seq,1024,random,32,24,static,6400,38519.224
life_char, omp,1024,random,32,24,static,6400,5129.782
life_char, omp_lazy,1024,random,32,24,static,6400,6385.948
life_ft, seq,1024,random,32,24,static,6400,55614.397
life_ft, omp,1024,random,32,24,static,6400,4023.680
life_ft, omp_lazy,1024,random,32,24,static,6400,4944.281
life, seq,1024,random,32,48,static,6400,55357.852
life, omp,1024,random,32,48,static,6400,5322.462
life, omp_lazy,1024,random,32,48,static,6400,5292.915
life_char, seq,1024,random,32,48,static,6400,38623.866
life_char, omp,1024,random,32,48,static,6400,4545.272
life_char, omp_lazy,1024,random,32,48,static,6400,4522.322
life_ft, seq,1024,random,32,48,static,6400,55633.763
life_ft, omp,1024,random,32,48,static,6400,5435.637
life_ft, omp_lazy,1024,random,32,48,static,6400,5395.032
life, seq,1024,ship,32,1,static,6400,54030.328
life, omp,1024,ship,32,1,static,6400,56526.924
life, omp_lazy,1024,ship,32,1,static,6400,17288.425
life_char, seq,1024,ship,32,1,static,6400,36066.304
life_char, omp,1024,ship,32,1,static,6400,37207.711
life_char, omp_lazy,1024,ship,32,1,static,6400,11647.123
life_ft, seq,1024,ship,32,1,static,6400,54084.016
life_ft, omp,1024,ship,32,1,static,6400,56503.017
life_ft, omp_lazy,1024,ship,32,1,static,6400,17375.823
life, seq,1024,ship,32,2,static,6400,54169.300
life, omp,1024,ship,32,2,static,6400,28316.034
life, omp_lazy,1024,ship,32,2,static,6400,9305.662
life_char, seq,1024,ship,32,2,static,6400,36380.722
life_char, omp,1024,ship,32,2,static,6400,18920.546
life_char, omp_lazy,1024,ship,32,2,static,6400,6301.432
life_ft, seq,1024,ship,32,2,static,6400,54067.494
life_ft, omp,1024,ship,32,2,static,6400,28287.545
life_ft, omp_lazy,1024,ship,32,2,static,6400,9290.315
life, seq,1024,ship,32,4,static,6400,53987.336
life, omp,1024,ship,32,4,static,6400,14194.916
life, omp_lazy,1024,ship,32,4,static,6400,4918.466
life_char, seq,1024,ship,32,4,static,6400,36063.648
life_char, omp,1024,ship,32,4,static,6400,9302.041
life_char, omp_lazy,1024,ship,32,4,static,6400,3330.633
life_ft, seq,1024,ship,32,4,static,6400,54030.052
life_ft, omp,1024,ship,32,4,static,6400,14176.761
life_ft, omp_lazy,1024,ship,32,4,static,6400,4919.831
life, seq,1024,ship,32,8,static,6400,53988.765
life, omp,1024,ship,32,8,static,6400,6841.971
life, omp_lazy,1024,ship,32,8,static,6400,2626.165
life_char, seq,1024,ship,32,8,static,6400,36069.226
life_char, omp,1024,ship,32,8,static,6400,5348.125
life_char, omp_lazy,1024,ship,32,8,static,6400,1902.121
life_ft, seq,1024,ship,32,8,static,6400,54123.672
life_ft, omp,1024,ship,32,8,static,6400,7176.276
life_ft, omp_lazy,1024,ship,32,8,static,6400,2799.961
life, seq,1024,ship,32,12,static,6400,54138.916
life, omp,1024,ship,32,12,static,6400,5590.557
life, omp_lazy,1024,ship,32,12,static,6400,2041.179
life_char, seq,1024,ship,32,12,static,6400,36777.155
life_char, omp,1024,ship,32,12,static,6400,4699.926
life_char, omp_lazy,1024,ship,32,12,static,6400,1811.239
life_ft, seq,1024,ship,32,12,static,6400,54148.083
life_ft, omp,1024,ship,32,12,static,6400,5546.182
life_ft, omp_lazy,1024,ship,32,12,static,6400,2089.493
life, seq,1024,ship,32,24,static,6400,54125.561
life, omp,1024,ship,32,24,static,6400,4216.743
life, omp_lazy,1024,ship,32,24,static,6400,1898.021
life_char, seq,1024,ship,32,24,static,6400,36097.607
life_char, omp,1024,ship,32,24,static,6400,4305.863
life_char, omp_lazy,1024,ship,32,24,static,6400,1611.456
life_ft, seq,1024,ship,32,24,static,6400,54072.162
life_ft, omp,1024,ship,32,24,static,6400,5173.566
life_ft, omp_lazy,1024,ship,32,24,static,6400,1711.570
life, seq,1024,ship,32,48,static,6400,54007.824
life, omp,1024,ship,32,48,static,6400,5203.330
life, omp_lazy,1024,ship,32,48,static,6400,2489.002
life_char, seq,1024,ship,32,48,static,6400,36145.540
life_char, omp,1024,ship,32,48,static,6400,4520.919
life_char, omp_lazy,1024,ship,32,48,static,6400,2119.253
life_ft, seq,1024,ship,32,48,static,6400,54259.476
life_ft, omp,1024,ship,32,48,static,6400,5340.711
life_ft, omp_lazy,1024,ship,32,48,static,6400,2602.825
life, seq,1024,moultdiehard130,32,1,static,6400,1126.225
life, omp,1024,moultdiehard130,32,1,static,6400,1153.160
life, omp_lazy,1024,moultdiehard130,32,1,static,6400,801.560
life_char, seq,1024,moultdiehard130,32,1,static,6400,754.929
life_char, omp,1024,moultdiehard130,32,1,static,6400,769.098
life_char, omp_lazy,1024,moultdiehard130,32,1,static,6400,535.867
life_ft, seq,1024,moultdiehard130,32,1,static,6400,1124.444
life_ft, omp,1024,moultdiehard130,32,1,static,6400,1170.060
life_ft, omp_lazy,1024,moultdiehard130,32,1,static,6400,808.845
life, seq,1024,moultdiehard130,32,2,static,6400,1103.725
life, omp,1024,moultdiehard130,32,2,static,6400,591.239
life, omp_lazy,1024,moultdiehard130,32,2,static,6400,431.231
life_char, seq,1024,moultdiehard130,32,2,static,6400,754.320
life_char, omp,1024,moultdiehard130,32,2,static,6400,392.368
life_char, omp_lazy,1024,moultdiehard130,32,2,static,6400,288.611
life_ft, seq,1024,moultdiehard130,32,2,static,6400,1125.477
life_ft, omp,1024,moultdiehard130,32,2,static,6400,592.755
life_ft, omp_lazy,1024,moultdiehard130,32,2,static,6400,431.607
life, seq,1024,moultdiehard130,32,4,static,6400,1106.828
life, omp,1024,moultdiehard130,32,4,static,6400,312.170
life, omp_lazy,1024,moultdiehard130,32,4,static,6400,232.454
life_char, seq,1024,moultdiehard130,32,4,static,6400,756.477
life_char, omp,1024,moultdiehard130,32,4,static,6400,205.196
life_char, omp_lazy,1024,moultdiehard130,32,4,static,6400,175.728
life_ft, seq,1024,moultdiehard130,32,4,static,6400,1117.114
life_ft, omp,1024,moultdiehard130,32,4,static,6400,301.539
life_ft, omp_lazy,1024,moultdiehard130,32,4,static,6400,232.909
life, seq,1024,moultdiehard130,32,8,static,6400,1123.090
life, omp,1024,moultdiehard130,32,8,static,6400,174.636
life, omp_lazy,1024,moultdiehard130,32,8,static,6400,133.475
life_char, seq,1024,moultdiehard130,32,8,static,6400,750.161
life_char, omp,1024,moultdiehard130,32,8,static,6400,117.782
life_char, omp_lazy,1024,moultdiehard130,32,8,static,6400,96.493
life_ft, seq,1024,moultdiehard130,32,8,static,6400,1123.886
life_ft, omp,1024,moultdiehard130,32,8,static,6400,178.503
life_ft, omp_lazy,1024,moultdiehard130,32,8,static,6400,123.739
life, seq,1024,moultdiehard130,32,12,static,6400,1153.431
life, omp,1024,moultdiehard130,32,12,static,6400,160.433
life, omp_lazy,1024,moultdiehard130,32,12,static,6400,126.347
life_char, seq,1024,moultdiehard130,32,12,static,6400,744.592
life_char, omp,1024,moultdiehard130,32,12,static,6400,141.997
life_char, omp_lazy,1024,moultdiehard130,32,12,static,6400,95.179
life_ft, seq,1024,moultdiehard130,32,12,static,6400,1115.932
life_ft, omp,1024,moultdiehard130,32,12,static,6400,150.727
life_ft, omp_lazy,1024,moultdiehard130,32,12,static,6400,94.975
life, seq,1024,moultdiehard130,32,24,static,6400,1119.920
life, omp,1024,moultdiehard130,32,24,static,6400,140.857
life, omp_lazy,1024,moultdiehard130,32,24,static,6400,118.979
life_char, seq,1024,moultdiehard130,32,24,static,6400,774.406
life_char, omp,1024,moultdiehard130,32,24,static,6400,139.730
life_char, omp_lazy,1024,moultdiehard130,32,24,static,6400,128.611
life_ft, seq,1024,moultdiehard130,32,24,static,6400,1109.285
life_ft, omp,1024,moultdiehard130,32,24,static,6400,296.726
life_ft, omp_lazy,1024,moultdiehard130,32,24,static,6400,161.102
life, seq,1024,moultdiehard130,32,48,static,6400,1140.890
life, omp,1024,moultdiehard130,32,48,static,6400,134.915
life, omp_lazy,1024,moultdiehard130,32,48,static,6400,114.408
life_char, seq,1024,moultdiehard130,32,48,static,6400,768.834
life_char, omp,1024,moultdiehard130,32,48,static,6400,119.115
life_char, omp_lazy,1024,moultdiehard130,32,48,static,6400,98.813
life_ft, seq,1024,moultdiehard130,32,48,static,6400,1111.626
life_ft, omp,1024,moultdiehard130,32,48,static,6400,118.599
life_ft, omp_lazy,1024,moultdiehard130,32,48,static,6400,93.486
