kernel,version,taille,jeu_donnees,tile,threads,schedule,iterations,temps_ms
life, omp,4096,random,32,1,static,400,62311.607
life, omp_lazy,4096,random,32,1,static,400,62040.430
life, omp,4096,random,32,2,static,400,31025.774
life, omp_lazy,4096,random,32,2,static,400,31133.397
life, omp,4096,random,32,4,static,400,15623.656
life, omp_lazy,4096,random,32,4,static,400,15587.375
life, omp,4096,random,32,8,static,400,8698.537
life, omp_lazy,4096,random,32,8,static,400,8756.374
life, omp,4096,random,32,12,static,400,6057.910
life, omp_lazy,4096,random,32,12,static,400,5994.235
life, omp,4096,random,32,24,static,400,7401.405
life, omp_lazy,4096,random,32,24,static,400,7261.478
life, omp,4096,random,32,48,static,400,6399.451
life, omp_lazy,4096,random,32,48,static,400,6500.876
life, omp,4096,ship,32,1,static,400,56154.865
life, omp_lazy,4096,ship,32,1,static,400,6161.909
life, omp,4096,ship,32,2,static,400,28250.412
life, omp_lazy,4096,ship,32,2,static,400,3080.297
life, omp,4096,ship,32,4,static,400,14348.161
life, omp_lazy,4096,ship,32,4,static,400,1675.258
life, omp,4096,ship,32,8,static,400,8543.884
life, omp_lazy,4096,ship,32,8,static,400,924.182
life, omp,4096,ship,32,12,static,400,6718.578
life, omp_lazy,4096,ship,32,12,static,400,664.767
life, omp,4096,ship,32,24,static,400,10921.591
life, omp_lazy,4096,ship,32,24,static,400,1675.740
life, omp,4096,ship,32,48,static,400,6566.881
life, omp_lazy,4096,ship,32,48,static,400,558.998
life, omp,4096,moultdiehard130,32,1,static,400,18078.253
life, omp_lazy,4096,moultdiehard130,32,1,static,400,1775.858
life, omp,4096,moultdiehard130,32,2,static,400,9235.360
life, omp_lazy,4096,moultdiehard130,32,2,static,400,1050.990
life, omp,4096,moultdiehard130,32,4,static,400,4643.331
life, omp_lazy,4096,moultdiehard130,32,4,static,400,535.324
life, omp,4096,moultdiehard130,32,8,static,400,2717.628
life, omp_lazy,4096,moultdiehard130,32,8,static,400,306.811
life, omp,4096,moultdiehard130,32,12,static,400,1957.208
life, omp_lazy,4096,moultdiehard130,32,12,static,400,213.762
life, omp,4096,moultdiehard130,32,24,static,400,2197.036
life, omp_lazy,4096,moultdiehard130,32,24,static,400,201.610
life, omp,4096,moultdiehard130,32,48,static,400,1974.052
life, omp_lazy,4096,moultdiehard130,32,48,static,400,181.196
