version,taille,jeu_donnees,tile,threads,schedule,iterations,temps_ms
omp,1024,random,16,1,static,6400,55948.927
omp,1024,random,16,1,dynamic,6400,56656.621
omp,1024,random,16,1,guided,6400,55922.474
omp,1024,random,16,2,static,6400,28076.320
omp,1024,random,16,2,dynamic,6400,40684.571
omp,1024,random,16,2,guided,6400,28420.022
omp,1024,random,16,4,static,6400,14186.648
omp,1024,random,16,4,dynamic,6400,37607.990
omp,1024,random,16,4,guided,6400,14511.818
omp,1024,random,16,8,static,6400,7081.292
omp,1024,random,16,8,dynamic,6400,19092.143
omp,1024,random,16,8,guided,6400,7480.004
omp,1024,random,16,12,static,6400,5015.664
omp,1024,random,16,12,dynamic,6400,13172.148
omp,1024,random,16,12,guided,6400,5506.538
omp,1024,random,16,24,static,6400,3865.719
omp,1024,random,16,24,dynamic,6400,7598.310
omp,1024,random,16,24,guided,6400,3808.415
omp,1024,random,16,48,static,6400,3027.454
omp,1024,random,16,48,dynamic,6400,7923.862
omp,1024,random,16,48,guided,6400,4569.332
omp,1024,random,32,1,static,6400,58645.878
omp,1024,random,32,1,dynamic,6400,59077.202
omp,1024,random,32,1,guided,6400,59682.815
omp,1024,random,32,2,static,6400,29644.828
omp,1024,random,32,2,dynamic,6400,49361.159
omp,1024,random,32,2,guided,6400,29536.714
omp,1024,random,32,4,static,6400,14906.121
omp,1024,random,32,4,dynamic,6400,30370.403
omp,1024,random,32,4,guided,6400,23771.741
omp,1024,random,32,8,static,6400,7152.722
omp,1024,random,32,8,dynamic,6400,16657.405
omp,1024,random,32,8,guided,6400,13995.081
omp,1024,random,32,12,static,6400,5803.661
omp,1024,random,32,12,dynamic,6400,11184.598
omp,1024,random,32,12,guided,6400,9992.629
omp,1024,random,32,24,static,6400,3409.010
omp,1024,random,32,24,dynamic,6400,5877.989
omp,1024,random,32,24,guided,6400,5424.957
omp,1024,random,32,48,static,6400,3033.750
omp,1024,random,32,48,dynamic,6400,5046.772
omp,1024,random,32,48,guided,6400,3672.487
