version,taille,jeu_donnees,tile,threads,iterations,temps_ms
omp,512,random,16,1,25600,47025.836
omp,512,random,16,2,25600,30116.521
omp,512,random,16,4,25600,18249.811
omp,512,random,16,8,25600,19720.048
omp,512,random,32,1,25600,54585.367
omp,512,random,32,2,25600,28268.851
omp,512,random,32,4,25600,21285.517
omp,512,random,32,8,25600,23519.429
omp,512,random,64,1,25600,54622.800
omp,512,random,64,2,25600,27175.096
omp,512,random,64,4,25600,16023.890
omp,512,random,64,8,25600,18530.532
omp,512,random,128,1,25600,53941.771
omp,512,random,128,2,25600,33614.510
omp,512,random,128,4,25600,17513.237
omp,512,random,128,8,25600,9005.897
omp,512,ship,16,1,25600,42697.047
omp,512,ship,16,2,25600,21363.429
omp,512,ship,16,4,25600,10762.920
omp,512,ship,16,8,25600,5530.000
omp,512,ship,32,1,25600,41381.763
omp,512,ship,32,2,25600,20908.735
omp,512,ship,32,4,25600,10482.897
omp,512,ship,32,8,25600,5369.252
omp,512,ship,64,1,25600,41848.689
omp,512,ship,64,2,25600,20910.945
omp,512,ship,64,4,25600,10916.495
omp,512,ship,64,8,25600,5480.941
omp,512,ship,128,1,25600,41096.756
omp,512,ship,128,2,25600,20653.896
omp,512,ship,128,4,25600,10468.316
omp,512,ship,128,8,25600,6492.414
omp,512,moultdiehard130,16,1,25600,230.078
omp,512,moultdiehard130,16,2,25600,125.298
omp,512,moultdiehard130,16,4,25600,72.533
omp,512,moultdiehard130,16,8,25600,45.877
omp,512,moultdiehard130,32,1,25600,224.206
omp,512,moultdiehard130,32,2,25600,122.708
omp,512,moultdiehard130,32,4,25600,71.191
omp,512,moultdiehard130,32,8,25600,45.603
omp,512,moultdiehard130,64,1,25600,227.977
omp,512,moultdiehard130,64,2,25600,124.374
omp,512,moultdiehard130,64,4,25600,71.696
omp,512,moultdiehard130,64,8,25600,46.449
omp,512,moultdiehard130,128,1,25600,226.488
omp,512,moultdiehard130,128,2,25600,120.413
omp,512,moultdiehard130,128,4,25600,70.742
omp,512,moultdiehard130,128,8,25600,50.615
omp,512,moultdiehard2474,16,1,25600,4232.447
omp,512,moultdiehard2474,16,2,25600,2143.033
omp,512,moultdiehard2474,16,4,25600,1106.972
omp,512,moultdiehard2474,16,8,25600,584.849
omp,512,moultdiehard2474,32,1,25600,4164.870
omp,512,moultdiehard2474,32,2,25600,2094.789
omp,512,moultdiehard2474,32,4,25600,1083.935
omp,512,moultdiehard2474,32,8,25600,570.397
omp,512,moultdiehard2474,64,1,25600,4166.880
omp,512,moultdiehard2474,64,2,25600,2122.214
omp,512,moultdiehard2474,64,4,25600,1091.839
omp,512,moultdiehard2474,64,8,25600,581.415
omp,512,moultdiehard2474,128,1,25600,4072.339
omp,512,moultdiehard2474,128,2,25600,2105.749
omp,512,moultdiehard2474,128,4,25600,1067.168
omp,512,moultdiehard2474,128,8,25600,654.669
omp,1024,random,16,1,6400,55887.875
omp,1024,random,16,2,6400,28055.844
omp,1024,random,16,4,6400,14155.035
omp,1024,random,16,8,6400,7189.076
omp,1024,random,32,1,6400,59597.463
omp,1024,random,32,2,6400,29342.584
omp,1024,random,32,4,6400,14805.786
omp,1024,random,32,8,6400,7168.424
omp,1024,random,64,1,6400,57891.300
omp,1024,random,64,2,6400,28952.843
omp,1024,random,64,4,6400,14746.774
omp,1024,random,64,8,6400,7340.588
omp,1024,random,128,1,6400,58267.955
omp,1024,random,128,2,6400,28648.207
omp,1024,random,128,4,6400,14635.285
omp,1024,random,128,8,6400,7208.730
omp,1024,ship,16,1,6400,53941.570
omp,1024,ship,16,2,6400,27006.117
omp,1024,ship,16,4,6400,13743.551
omp,1024,ship,16,8,6400,7001.265
omp,1024,ship,32,1,6400,56614.113
omp,1024,ship,32,2,6400,28332.325
omp,1024,ship,32,4,6400,14399.774
omp,1024,ship,32,8,6400,7088.730
omp,1024,ship,64,1,6400,56705.054
omp,1024,ship,64,2,6400,28203.968
omp,1024,ship,64,4,6400,14189.621
omp,1024,ship,64,8,6400,7031.104
omp,1024,ship,128,1,6400,55627.590
omp,1024,ship,128,2,6400,27837.653
omp,1024,ship,128,4,6400,14195.022
omp,1024,ship,128,8,6400,7079.331
omp,1024,moultdiehard130,16,1,6400,1110.602
omp,1024,moultdiehard130,16,2,6400,580.696
omp,1024,moultdiehard130,16,4,6400,291.923
omp,1024,moultdiehard130,16,8,6400,155.955
omp,1024,moultdiehard130,32,1,6400,1172.619
omp,1024,moultdiehard130,32,2,6400,591.777
omp,1024,moultdiehard130,32,4,6400,352.175
omp,1024,moultdiehard130,32,8,6400,158.295
omp,1024,moultdiehard130,64,1,6400,1187.823
omp,1024,moultdiehard130,64,2,6400,610.996
omp,1024,moultdiehard130,64,4,6400,318.615
omp,1024,moultdiehard130,64,8,6400,158.249
omp,1024,moultdiehard130,128,1,6400,1158.159
omp,1024,moultdiehard130,128,2,6400,591.585
omp,1024,moultdiehard130,128,4,6400,304.613
omp,1024,moultdiehard130,128,8,6400,160.891
omp,1024,moultdiehard2474,16,1,6400,20887.053
omp,1024,moultdiehard2474,16,2,6400,10473.528
omp,1024,moultdiehard2474,16,4,6400,5308.453
omp,1024,moultdiehard2474,16,8,6400,2693.367
omp,1024,moultdiehard2474,32,1,6400,22003.268
omp,1024,moultdiehard2474,32,2,6400,11009.211
omp,1024,moultdiehard2474,32,4,6400,5585.591
omp,1024,moultdiehard2474,32,8,6400,2798.025
omp,1024,moultdiehard2474,64,1,6400,22038.910
omp,1024,moultdiehard2474,64,2,6400,10945.410
omp,1024,moultdiehard2474,64,4,6400,5509.283
omp,1024,moultdiehard2474,64,8,6400,2829.522
omp,1024,moultdiehard2474,128,1,6400,21749.791
omp,1024,moultdiehard2474,128,2,6400,10852.819
omp,1024,moultdiehard2474,128,4,6400,5483.781
omp,1024,moultdiehard2474,128,8,6400,2735.742
omp,2048,random,16,1,1600,58434.883
omp,2048,random,16,2,1600,29221.858
omp,2048,random,16,4,1600,14609.161
omp,2048,random,16,8,1600,7377.452
omp,2048,random,32,1,1600,84024.560
omp,2048,random,32,2,1600,40694.293
omp,2048,random,32,4,1600,19491.336
omp,2048,random,32,8,1600,8263.950
omp,2048,random,64,1,1600,83139.720
omp,2048,random,64,2,1600,41689.646
omp,2048,random,64,4,1600,20537.086
omp,2048,random,64,8,1600,9089.042
