version,taille,jeu_donnees,tile,threads,schedule,iterations,temps_ms
omp,1024,random,32,1,static,6400,58351.016
omp,1024,random,32,1,dynamic,6400,58818.978
omp,1024,random,32,1,guided,6400,58403.026
omp,1024,random,32,2,static,6400,29376.707
omp,1024,random,32,2,dynamic,6400,34549.962
omp,1024,random,32,2,guided,6400,29282.786
omp,1024,random,32,4,static,6400,14727.120
omp,1024,random,32,4,dynamic,6400,18844.867
omp,1024,random,32,4,guided,6400,14799.828
omp,1024,random,32,8,static,6400,7136.939
omp,1024,random,32,8,dynamic,6400,9235.045
omp,1024,random,32,8,guided,6400,8521.251
omp,1024,random,32,12,static,6400,5509.501
omp,1024,random,32,12,dynamic,6400,6230.976
omp,1024,random,32,12,guided,6400,5965.953
omp,1024,random,32,24,static,6400,5366.598
omp,1024,random,32,24,dynamic,6400,5012.553
omp,1024,random,32,24,guided,6400,6657.178
omp,1024,random,32,48,static,6400,5476.386
omp,1024,random,32,48,dynamic,6400,4734.946
omp,1024,random,32,48,guided,6400,4942.723
