version,taille,jeu_donnees,tile,threads,schedule,iterations,temps_ms
omp,1024,random,32,1,static,6400,58612.136
omp,1024,random,32,1,dynamic,6400,58849.878
omp,1024,random,32,1,guided,6400,58474.826
omp,1024,random,32,2,static,6400,29398.760
omp,1024,random,32,2,dynamic,6400,33206.804
omp,1024,random,32,2,guided,6400,29302.483
omp,1024,random,32,4,static,6400,14696.508
omp,1024,random,32,4,dynamic,6400,18527.486
omp,1024,random,32,4,guided,6400,14798.219
omp,1024,random,32,8,static,6400,7300.016
omp,1024,random,32,8,dynamic,6400,9437.140
omp,1024,random,32,8,guided,6400,8519.201
omp,1024,random,32,12,static,6400,5996.256
omp,1024,random,32,12,dynamic,6400,6215.548
omp,1024,random,32,12,guided,6400,6216.017
omp,1024,random,32,24,static,6400,6301.771
omp,1024,random,32,24,dynamic,6400,5548.549
omp,1024,random,32,24,guided,6400,4775.614
omp,1024,random,32,48,static,6400,5581.314
omp,1024,random,32,48,dynamic,6400,4874.636
omp,1024,random,32,48,guided,6400,4837.907
