version,taille,jeu_donnees,tile,threads,schedule,iterations,temps_ms
omp_lazy,1024,random,32,1,static,6400,58615.492
omp_lazy,1024,random,32,1,dynamic,6400,58377.917
omp_lazy,1024,random,32,1,guided,6400,58606.728
omp_lazy,1024,random,32,2,static,6400,29325.253
omp_lazy,1024,random,32,2,dynamic,6400,29432.027
omp_lazy,1024,random,32,2,guided,6400,29356.707
omp_lazy,1024,random,32,4,static,6400,14731.072
omp_lazy,1024,random,32,4,dynamic,6400,14694.262
omp_lazy,1024,random,32,4,guided,6400,14711.599
omp_lazy,1024,random,32,8,static,6400,7116.328
omp_lazy,1024,random,32,8,dynamic,6400,7105.443
omp_lazy,1024,random,32,8,guided,6400,7184.817
omp_lazy,1024,random,32,12,static,6400,5527.551
omp_lazy,1024,random,32,12,dynamic,6400,5092.251
omp_lazy,1024,random,32,12,guided,6400,5093.674
omp_lazy,1024,random,32,24,static,6400,4525.284
omp_lazy,1024,random,32,24,dynamic,6400,4549.616
omp_lazy,1024,random,32,24,guided,6400,5655.450
omp_lazy,1024,random,32,48,static,6400,5431.835
omp_lazy,1024,random,32,48,dynamic,6400,5459.472
omp_lazy,1024,random,32,48,guided,6400,5320.405
