version,taille,jeu_donnees,tile,threads,schedule,iterations,temps_ms
omp,1024,random,32,1,static,6400,58626.290
omp,1024,random,32,1,dynamic,6400,58744.471
omp,1024,random,32,1,guided,6400,58520.252
omp,1024,random,32,2,static,6400,29332.948
omp,1024,random,32,2,dynamic,6400,34051.298
omp,1024,random,32,2,guided,6400,29416.657
omp,1024,random,32,4,static,6400,15218.259
omp,1024,random,32,4,dynamic,6400,18895.063
omp,1024,random,32,4,guided,6400,14772.342
omp,1024,random,32,8,static,6400,7562.657
omp,1024,random,32,8,dynamic,6400,9313.774
omp,1024,random,32,8,guided,6400,8506.078
omp,1024,random,32,12,static,6400,5529.984
omp,1024,random,32,12,dynamic,6400,6216.071
omp,1024,random,32,12,guided,6400,5935.060
omp,1024,random,32,24,static,6400,5602.427
omp,1024,random,32,24,dynamic,6400,4867.323
omp,1024,random,32,24,guided,6400,6805.572
omp,1024,random,32,48,static,6400,5407.089
omp,1024,random,32,48,dynamic,6400,4767.558
omp,1024,random,32,48,guided,6400,4860.600
