version,taille,jeu_donnees,tile,threads,schedule,iterations,temps_ms
omp,1024,random,16,1,static,6400,55869.285
omp,1024,random,16,1,dynamic,6400,56554.017
omp,1024,random,16,1,guided,6400,56074.753
omp,1024,random,16,2,static,6400,28038.893
omp,1024,random,16,2,dynamic,6400,38284.076
omp,1024,random,16,2,guided,6400,28249.405
omp,1024,random,16,4,static,6400,14103.774
omp,1024,random,16,4,dynamic,6400,38120.564
omp,1024,random,16,4,guided,6400,14393.784
omp,1024,random,16,8,static,6400,7127.353
omp,1024,random,16,8,dynamic,6400,19256.259
omp,1024,random,16,8,guided,6400,7500.519
omp,1024,random,16,12,static,6400,5036.125
omp,1024,random,16,12,dynamic,6400,13327.413
omp,1024,random,16,12,guided,6400,5382.249
omp,1024,random,16,24,static,6400,2916.048
omp,1024,random,16,24,dynamic,6400,6931.449
omp,1024,random,16,24,guided,6400,3326.173
omp,1024,random,16,48,static,6400,3078.778
omp,1024,random,16,48,dynamic,6400,12650.990
omp,1024,random,16,48,guided,6400,3871.775
omp,1024,random,32,1,static,6400,58837.960
omp,1024,random,32,1,dynamic,6400,60035.683
omp,1024,random,32,1,guided,6400,59554.487
omp,1024,random,32,2,static,6400,29331.607
omp,1024,random,32,2,dynamic,6400,35043.507
omp,1024,random,32,2,guided,6400,29276.133
omp,1024,random,32,4,static,6400,14897.495
omp,1024,random,32,4,dynamic,6400,29233.546
omp,1024,random,32,4,guided,6400,24052.232
omp,1024,random,32,8,static,6400,7192.996
omp,1024,random,32,8,dynamic,6400,16616.874
omp,1024,random,32,8,guided,6400,14054.061
omp,1024,random,32,12,static,6400,5484.896
omp,1024,random,32,12,dynamic,6400,11475.331
omp,1024,random,32,12,guided,6400,10088.776
omp,1024,random,32,24,static,6400,3193.921
omp,1024,random,32,24,dynamic,6400,5843.553
omp,1024,random,32,24,guided,6400,5360.249
omp,1024,random,32,48,static,6400,3004.728
omp,1024,random,32,48,dynamic,6400,5866.670
omp,1024,random,32,48,guided,6400,3618.027
omp,1024,random,64,1,static,6400,57947.630
omp,1024,random,64,1,dynamic,6400,59448.495
omp,1024,random,64,1,guided,6400,58505.952
omp,1024,random,64,2,static,6400,29006.760
omp,1024,random,64,2,dynamic,6400,35464.026
omp,1024,random,64,2,guided,6400,29085.570
omp,1024,random,64,4,static,6400,14630.666
omp,1024,random,64,4,dynamic,6400,26828.824
omp,1024,random,64,4,guided,6400,24255.582
omp,1024,random,64,8,static,6400,7091.254
omp,1024,random,64,8,dynamic,6400,15057.444
omp,1024,random,64,8,guided,6400,14088.847
omp,1024,random,64,12,static,6400,5667.769
omp,1024,random,64,12,dynamic,6400,10215.322
omp,1024,random,64,12,guided,6400,10203.035
omp,1024,random,64,24,static,6400,3599.861
omp,1024,random,64,24,dynamic,6400,5538.903
omp,1024,random,64,24,guided,6400,5502.497
omp,1024,random,64,48,static,6400,2644.716
omp,1024,random,64,48,dynamic,6400,6113.923
omp,1024,random,64,48,guided,6400,3929.863
omp,1024,random,128,1,static,6400,57337.403
omp,1024,random,128,1,dynamic,6400,57640.040
omp,1024,random,128,1,guided,6400,57770.834
omp,1024,random,128,2,static,6400,28766.057
omp,1024,random,128,2,dynamic,6400,34671.100
omp,1024,random,128,2,guided,6400,28607.378
omp,1024,random,128,4,static,6400,14481.668
omp,1024,random,128,4,dynamic,6400,25689.602
omp,1024,random,128,4,guided,6400,23359.346
omp,1024,random,128,8,static,6400,7175.049
omp,1024,random,128,8,dynamic,6400,13579.024
omp,1024,random,128,8,guided,6400,14036.010
omp,1024,random,128,12,static,6400,6094.981
omp,1024,random,128,12,dynamic,6400,9645.866
omp,1024,random,128,12,guided,6400,10676.089
omp,1024,random,128,24,static,6400,3839.840
omp,1024,random,128,24,dynamic,6400,5453.232
omp,1024,random,128,24,guided,6400,6279.141
omp,1024,random,128,48,static,6400,6565.533
omp,1024,random,128,48,dynamic,6400,4829.931
omp,1024,random,128,48,guided,6400,5866.132
