version,taille,jeu_donnees,tile,threads,schedule,iterations,temps_ms
omp,1024,random,32,1,static,6400,59588.405
omp,1024,random,32,2,static,6400,29512.086
omp,1024,random,32,4,static,6400,14750.254
omp,1024,random,32,8,static,6400,7411.854
omp,1024,random,32,12,static,6400,5506.169
omp,1024,random,32,24,static,6400,3483.254
omp,1024,random,32,48,static,6400,2937.247
omp,1024,ship,32,1,static,6400,57265.247
omp,1024,ship,32,2,static,6400,28323.577
omp,1024,ship,32,4,static,6400,14224.720
omp,1024,ship,32,8,static,6400,6878.386
omp,1024,ship,32,12,static,6400,5391.793
omp,1024,ship,32,24,static,6400,3512.072
omp,1024,ship,32,48,static,6400,4097.560
omp,1024,moultdiehard130,32,1,static,6400,1151.389
omp,1024,moultdiehard130,32,2,static,6400,588.045
omp,1024,moultdiehard130,32,4,static,6400,306.750
omp,1024,moultdiehard130,32,8,static,6400,156.939
omp,1024,moultdiehard130,32,12,static,6400,125.902
omp,1024,moultdiehard130,32,24,static,6400,91.084
omp,1024,moultdiehard130,32,48,static,6400,77.612
omp,1024,moultdiehard2474,32,1,static,6400,21961.015
omp,1024,moultdiehard2474,32,2,static,6400,10969.521
omp,1024,moultdiehard2474,32,4,static,6400,5538.833
omp,1024,moultdiehard2474,32,8,static,6400,2674.412
omp,1024,moultdiehard2474,32,12,static,6400,2221.572
omp,1024,moultdiehard2474,32,24,static,6400,1432.386
omp,1024,moultdiehard2474,32,48,static,6400,961.696
